online_order,book_table,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),target
0,0,Banashankari,Quick Bites,South Indian,200,0,Banashankari,1
0,0,Banashankari,Quick Bites,"South Indian, Biryani",300,0,Banashankari,1
0,0,Banashankari,"Takeaway, Delivery",Bakery,400,0,Banashankari,1
0,0,Banashankari,Cafe,"Cafe, Bakery",600,0,Banashankari,0
0,0,Banashankari,Bakery,"Bakery, Desserts",300,0,Banashankari,1
0,0,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300,0,Banashankari,0
0,0,Banashankari,"Takeaway, Delivery",Beverages,250,0,Banashankari,0
0,0,Banashankari,Quick Bites,Biryani,300,0,Banashankari,0
0,0,Banashankari,Quick Bites,North Indian,300,0,Banashankari,0
0,0,Banashankari,"Takeaway, Delivery","Sandwich, Pizza, Beverages",200,0,Banashankari,0
0,0,Banashankari,Quick Bites,North Indian,150,0,Banashankari,0
0,0,Banashankari,Bakery,"Bakery, Desserts",400,0,Banashankari,0
0,0,Banashankari,Dessert Parlor,Mithai,150,0,Banashankari,0
0,0,Banashankari,Bakery,Bakery,300,0,Banashankari,0
0,0,Banashankari,Quick Bites,"North Indian, Street Food",200,0,Banashankari,0
0,0,Banashankari,"Takeaway, Delivery",South Indian,150,0,Banashankari,0
0,0,Banashankari,Dessert Parlor,"Ice Cream, Desserts, Juices",150,0,Banashankari,0
0,0,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",250,0,Banashankari,0
0,0,Banashankari,Bar,"Chinese, North Indian",1000,0,Banashankari,0
1,0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,0,Banashankari,1
0,0,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200,0,Banashankari,0
0,0,Banashankari,Quick Bites,"Fast Food, South Indian",100,0,Banashankari,0
0,0,Banashankari,Quick Bites,"Street Food, Fast Food",200,0,Banashankari,0
0,0,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200,0,Banashankari,0
0,0,Banashankari,Delivery,"South Indian, North Indian, Continental",400,0,Banashankari,0
0,0,Banashankari,Quick Bites,"Biryani, Chinese, South Indian, North Indian",350,0,Banashankari,0
0,0,Banashankari,Delivery,South Indian,100,0,Banashankari,0
0,0,Banashankari,Quick Bites,"Rolls, North Indian",150,0,Banashankari,0
0,0,Banashankari,Quick Bites,South Indian,150,0,Banashankari,0
0,0,Banashankari,"Takeaway, Delivery","Biryani, Rolls, Chinese",200,0,Banashankari,0
0,0,Banashankari,Quick Bites,North Indian,100,0,Banashankari,0
0,0,Banashankari,Quick Bites,"Biryani, Fast Food",400,0,Banashankari,0
0,0,Banashankari,Beverage Shop,"Beverages, Juices",200,0,Banashankari,0
0,0,Banashankari,"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices",150,0,Banashankari,0
0,0,Banashankari,"Takeaway, Delivery",South Indian,400,0,Banashankari,0
0,0,Banashankari,Quick Bites,"South Indian, Chinese",150,0,Banashankari,0
0,0,Banashankari,Quick Bites,Andhra,250,0,Banashankari,0
0,0,Banashankari,Quick Bites,Biryani,250,0,Banashankari,0
0,0,Banashankari,Quick Bites,"South Indian, Biryani",150,0,Banashankari,0
0,0,Banashankari,other,Desserts,200,0,Banashankari,0
0,0,Banashankari,other,"Healthy Food, Juices, Sandwich",350,0,Banashankari,0
0,0,Banashankari,Quick Bites,"South Indian, Biryani",300,0,Banashankari,0
0,0,Banashankari,"Takeaway, Delivery","Pizza, Fast Food",100,0,Banashankari,0
0,0,Banashankari,Quick Bites,"South Indian, Beverages",150,0,Banashankari,0
1,0,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450,0,Banashankari,1
0,0,Banashankari,Bar,"North Indian, Chinese",800,0,Banashankari,0
1,0,Basavanagudi,Quick Bites,South Indian,200,0,Banashankari,1
1,1,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500,0,Banashankari,1
1,0,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300,0,Banashankari,1
1,0,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650,0,Banashankari,1
1,0,other,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400,0,Banashankari,1
1,0,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,0,Banashankari,1
1,0,Banashankari,Quick Bites,"Burger, Fast Food",450,0,Banashankari,1
0,0,Banashankari,Quick Bites,Fast Food,100,0,Banashankari,0
1,0,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,0,Banashankari,1
1,0,other,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750,0,Banashankari,1
1,0,other,Beverage Shop,"Beverages, Juices, Ice Cream",150,0,Banashankari,1
1,0,other,Quick Bites,"North Indian, Chinese",250,0,Banashankari,0
1,0,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350,0,Banashankari,1
1,0,Basavanagudi,"Takeaway, Delivery",Biryani,300,0,Banashankari,0
1,0,Banashankari,Quick Bites,Biryani,300,0,Banashankari,0
1,0,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",800,0,Banashankari,1
1,0,Basavanagudi,other,"Desserts, Mithai",300,0,Banashankari,0
1,0,Jayanagar,Cafe,"Cafe, Beverages",400,0,Banashankari,1
1,0,Basavanagudi,Quick Bites,"South Indian, Chinese",150,0,Banashankari,1
1,1,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1200,0,Banashankari,1
1,0,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",150,0,Banashankari,1
1,0,other,Quick Bites,"South Indian, North Indian, Chinese, Juices",300,0,Banashankari,0
1,0,Banashankari,Sweet Shop,"Mithai, Street Food",400,0,Banashankari,1
1,0,Banashankari,"Takeaway, Delivery","Italian, Pizza",400,0,Banashankari,1
1,0,Banashankari,Quick Bites,Biryani,200,0,Banashankari,1
1,0,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",250,0,Banashankari,1
1,0,Basavanagudi,Bakery,Bakery,400,0,Banashankari,1
1,0,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,0,Banashankari,1
1,0,Banashankari,Quick Bites,South Indian,150,0,Banashankari,1
1,0,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450,0,Banashankari,0
1,0,Basavanagudi,Quick Bites,Street Food,200,0,Banashankari,1
1,0,other,Quick Bites,"Fast Food, Pizza",250,0,Banashankari,1
1,0,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700,0,Banashankari,0
1,1,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650,0,Banashankari,1
1,0,Jayanagar,Beverage Shop,"Beverages, Sandwich",300,0,Banashankari,1
1,0,other,Casual Dining,Italian,700,0,Banashankari,1
1,0,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",500,0,Banashankari,1
1,0,other,Quick Bites,"Bengali, Chinese, Sandwich",350,0,Banashankari,1
1,0,Banashankari,Dessert Parlor,Ice Cream,150,0,Banashankari,1
1,0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400,0,Banashankari,1
1,0,Basavanagudi,Quick Bites,South Indian,100,0,Banashankari,1
1,0,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",200,0,Banashankari,1
1,0,other,Quick Bites,South Indian,150,0,Banashankari,1
1,0,other,Quick Bites,Arabian,300,0,Banashankari,1
1,0,Banashankari,Quick Bites,North Indian,350,0,Banashankari,1
1,0,Basavanagudi,Quick Bites,South Indian,100,0,Banashankari,1
1,0,Banashankari,Cafe,Cafe,500,0,Banashankari,1
1,0,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",750,0,Banashankari,1
1,0,other,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,0,Banashankari,0
1,0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,0,Banashankari,1
1,0,Banashankari,Quick Bites,South Indian,300,0,Banashankari,0
1,0,Banashankari,Quick Bites,South Indian,200,0,Banashankari,1
1,0,Banashankari,Cafe,"Cafe, French, North Indian",400,0,Banashankari,0
1,0,Banashankari,Casual Dining,"Pizza, Fast Food",750,0,Banashankari,1
1,0,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650,0,Banashankari,1
1,0,Basavanagudi,Dessert Parlor,Fast Food,250,0,Banashankari,1
1,0,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",500,0,Banashankari,1
1,0,Basavanagudi,Quick Bites,"Street Food, Fast Food",250,0,Banashankari,1
1,0,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150,0,Banashankari,1
1,0,Banashankari,Casual Dining,North Indian,500,0,Banashankari,0
1,1,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ",1500,0,Banashankari,1
1,0,Jayanagar,Quick Bites,"Chinese, Fast Food",300,0,Banashankari,1
1,0,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800,0,Banashankari,1
1,0,other,Casual Dining,"North Indian, Chinese",700,0,Banashankari,1
1,0,Banashankari,Casual Dining,Vietnamese,700,0,Banashankari,1
1,0,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,0,Banashankari,1
1,0,other,Quick Bites,"Fast Food, Street Food",200,0,Banashankari,0
1,0,other,Quick Bites,North Indian,300,0,Banashankari,0
1,0,other,Casual Dining,"North Indian, Chinese, Biryani, Kebab",500,0,Banashankari,0
1,0,Basavanagudi,Quick Bites,"North Indian, Chinese",300,0,Banashankari,0
1,1,Jayanagar,Casual Dining,"Italian, Salad",1300,0,Banashankari,1
1,0,other,Quick Bites,"North Indian, Chinese",350,0,Banashankari,1
1,0,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500,0,Banashankari,1
1,0,Jayanagar,Casual Dining,"Andhra, Seafood, North Indian, Chinese",700,0,Banashankari,1
1,1,Jayanagar,Casual Dining,"Mangalorean, Seafood, South Indian",1000,0,Banashankari,1
1,0,Jayanagar,Quick Bites,Andhra,400,0,Banashankari,0
1,0,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750,0,Banashankari,1
1,1,Jayanagar,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500,0,Banashankari,0
1,0,JP Nagar,Casual Dining,South Indian,400,0,Banashankari,1
1,0,Jayanagar,Beverage Shop,"Beverages, Tea",250,0,Banashankari,1
1,0,Jayanagar,Quick Bites,"North Indian, Street Food",200,0,Banashankari,1
1,0,Basavanagudi,Quick Bites,"Pizza, Italian",600,0,Banashankari,1
1,0,other,Quick Bites,"Cafe, Burger, Beverages",650,0,Banashankari,1
0,0,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,0,Banashankari,1
0,0,Basavanagudi,Quick Bites,"South Indian, Mangalorean",450,0,Banashankari,1
0,0,Basavanagudi,Bakery,"Bakery, Desserts",300,0,Banashankari,0
0,0,JP Nagar,Dessert Parlor,Ice Cream,200,0,Banashankari,0
0,0,other,Quick Bites,South Indian,300,0,Banashankari,1
0,0,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",450,0,Banashankari,1
0,0,Basavanagudi,Quick Bites,"Andhra, South Indian, Biryani, North Indian",450,0,Banashankari,1
0,0,Basavanagudi,Quick Bites,"Fast Food, Street Food",150,0,Banashankari,1
0,0,Basavanagudi,Dessert Parlor,Desserts,250,0,Banashankari,0
0,0,other,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,0,Banashankari,1
0,0,Jayanagar,Quick Bites,South Indian,250,0,Banashankari,0
0,0,Basavanagudi,"Bakery, Quick Bites",Bakery,400,0,Banashankari,1
0,0,Basavanagudi,Quick Bites,South Indian,100,0,Banashankari,0
0,0,other,Quick Bites,"North Indian, Chinese",300,0,Banashankari,0
0,0,Jayanagar,Quick Bites,"North Indian, South Indian, Chinese, Beverages, Fast Food",200,0,Banashankari,0
1,0,other,Quick Bites,Street Food,200,0,Banashankari,0
0,0,other,Quick Bites,"North Indian, Chinese, Biryani",350,0,Banashankari,0
1,0,other,Quick Bites,"South Indian, North Indian",300,0,Banashankari,1
1,0,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700,0,Banashankari,0
1,0,Basavanagudi,Sweet Shop,"Mithai, Desserts",250,0,Banashankari,1
1,0,other,Beverage Shop,"Juices, Beverages",100,0,Banashankari,1
1,0,Banashankari,Quick Bites,"Salad, Fast Food",600,0,Banashankari,1
1,0,other,Quick Bites,"North Indian, Chinese",250,0,Banashankari,0
1,0,Jayanagar,Quick Bites,"Juices, Desserts",200,0,Banashankari,1
1,0,Jayanagar,Cafe,"Cafe, Fast Food",900,0,Banashankari,0
1,0,other,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400,0,Banashankari,1
1,0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",300,0,Banashankari,1
1,0,Basavanagudi,Casual Dining,North Indian,600,0,Banashankari,1
1,0,Banashankari,Casual Dining,"North Indian, Chinese",700,0,Banashankari,1
1,0,Banashankari,Casual Dining,"North Indian, Chinese",750,0,Banashankari,1
1,0,Jayanagar,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese",500,0,Banashankari,1
1,0,other,Quick Bites,"South Indian, Mangalorean",350,0,Banashankari,1
1,0,Jayanagar,Quick Bites,"South Indian, Beverages",200,0,Banashankari,1
1,0,Banashankari,Quick Bites,"Fast Food, Rolls",250,0,Banashankari,1
1,0,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food",600,0,Banashankari,1
1,0,Basavanagudi,Quick Bites,Fast Food,200,0,Banashankari,0
1,0,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls",250,0,Banashankari,0
1,0,Basavanagudi,Quick Bites,"Beverages, Fast Food",150,0,Banashankari,0
1,0,Banashankari,other,"Italian, Fast Food, Cafe, European",600,0,Banashankari,1
1,0,Jayanagar,Dessert Parlor,Desserts,300,0,Banashankari,1
1,0,Jayanagar,Sweet Shop,"Desserts, Mithai",250,0,Banashankari,1
1,0,Jayanagar,Casual Dining,"North Indian, Chinese, South Indian",550,0,Banashankari,1
1,0,other,Quick Bites,Fast Food,300,0,Banashankari,0
1,0,Banashankari,Bakery,"Bakery, Desserts",350,0,Banashankari,1
1,0,Banashankari,Quick Bites,"South Indian, Fast Food",200,0,Banashankari,1
1,0,Banashankari,Casual Dining,"Biryani, North Indian, Seafood, Andhra",650,0,Banashankari,1
1,0,Jayanagar,Quick Bites,"South Indian, Chinese",300,0,Banashankari,0
1,0,other,Casual Dining,"South Indian, Chinese, Street Food, Juices",500,0,Banashankari,1
1,1,Jayanagar,Casual Dining,"North Indian, Afghani, Mughlai",1200,0,Banashankari,1
1,0,Banashankari,Cafe,Cafe,650,0,Banashankari,1
1,0,other,Quick Bites,"Italian, Chinese, Street Food",250,0,Banashankari,0
1,0,other,Casual Dining,"South Indian, North Indian",400,0,Banashankari,1
1,0,Banashankari,Delivery,Pizza,600,0,Banashankari,1
1,0,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream",250,0,Banashankari,1
1,0,Basavanagudi,Quick Bites,South Indian,100,0,Banashankari,1
1,0,Jayanagar,Casual Dining,"Chinese, Thai, Momos",850,0,Banashankari,1
1,0,other,Casual Dining,"South Indian, North Indian, Chinese",400,0,Banashankari,0
1,0,Basavanagudi,Quick Bites,"South Indian, Healthy Food",200,0,Banashankari,1
1,0,Basavanagudi,Quick Bites,"Street Food, Fast Food",100,0,Banashankari,0
1,0,Basavanagudi,Dessert Parlor,Beverages,100,0,Banashankari,0
1,0,Jayanagar,Casual Dining,South Indian,400,0,Banashankari,1
1,0,Jayanagar,Cafe,"Cafe, American, Pizza",450,0,Banashankari,0
1,0,Basavanagudi,Quick Bites,"South Indian, Fast Food",300,0,Banashankari,1
1,0,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,0,Banashankari,1
1,0,Basavanagudi,Quick Bites,South Indian,100,0,Banashankari,1
1,0,Jayanagar,Quick Bites,"Street Food, North Indian, South Indian",400,0,Banashankari,1
1,0,Jayanagar,Casual Dining,"North Indian, South Indian, Biryani, Beverages",900,0,Banashankari,1
1,0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,0,Banashankari,1
1,0,Jayanagar,Casual Dining,"North Indian, Chinese, Rolls",550,0,Banashankari,1
1,0,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800,0,Banashankari,1
1,0,Basavanagudi,Quick Bites,South Indian,200,0,Banashankari,1
1,0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",250,0,Banashankari,1
1,0,Banashankari,Quick Bites,"South Indian, Street Food",150,0,Banashankari,1
1,1,Banashankari,Casual Dining,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",1200,0,Banashankari,1
1,0,other,Quick Bites,"North Indian, Fast Food",400,0,Banashankari,1
1,0,Basavanagudi,Cafe,"Cafe, Continental, Beverages, Desserts",500,0,Banashankari,1
1,0,other,Casual Dining,Biryani,400,0,Banashankari,0
1,0,Banashankari,Cafe,"Cafe, Italian, Continental",700,0,Banashankari,1
1,0,other,Quick Bites,"North Indian, Chinese, Rolls, Biryani, Kebab",400,0,Banashankari,0
1,0,other,Casual Dining,"South Indian, North Indian, Chinese, Beverages",400,0,Banashankari,0
1,0,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800,0,Banashankari,1
1,0,Banashankari,Casual Dining,"Pizza, Italian, Salad",800,0,Banashankari,0
1,0,other,Quick Bites,"Fast Food, Chinese, Rolls",300,0,Banashankari,1
1,0,Banashankari,Quick Bites,"Fast Food, Chinese",200,0,Banashankari,1
1,0,other,Delivery,"Mexican, Italian",600,0,Banashankari,1
1,1,Jayanagar,Casual Dining,"North Indian, Chinese",900,0,Banashankari,1
1,1,Banashankari,Casual Dining,"North Indian, Chinese",800,0,Banashankari,1
1,0,Jayanagar,Dessert Parlor,"Ice Cream, Desserts, Beverages",400,0,Banashankari,1
1,0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,0,Banashankari,0
1,0,Jayanagar,Quick Bites,Fast Food,200,0,Banashankari,1
1,0,Basavanagudi,Quick Bites,"Juices, Fast Food",150,0,Banashankari,1
1,0,other,Quick Bites,"South Indian, Chinese, Street Food",250,0,Banashankari,0
1,0,Banashankari,Dessert Parlor,"Fast Food, Desserts, Ice Cream",400,0,Banashankari,1
1,0,Jayanagar,Cafe,"Cafe, Fast Food, Chinese",300,0,Banashankari,1
1,0,Jayanagar,Quick Bites,Biryani,200,0,Banashankari,1
1,0,Banashankari,Quick Bites,"North Indian, Chinese",250,0,Banashankari,0
1,0,Banashankari,Quick Bites,Fast Food,150,0,Banashankari,1
1,0,Banashankari,Casual Dining,"North Indian, Chinese",600,0,Banashankari,1
1,0,Basavanagudi,Dessert Parlor,"Desserts, Momos",200,0,Banashankari,1
1,0,Jayanagar,Quick Bites,Fast Food,200,0,Banashankari,1
